,miRNA,Target
77791,hsa-miR-1306-5p,RBM3
77792,hsa-miR-491-5p,RPS14
77793,hsa-miR-33a-5p/hsa-miR-33b-5p,MTDH
77794,hsa-miR-544a,DLGAP3
77795,hsa-miR-425-5p,TNC
77796,hsa-miR-1249-3p,
77797,hsa-miR-330-3p,CSNK1A1
77798,hsa-miR-379-3p/hsa-miR-411-3p,PDGFA
77799,hsa-miR-28-5p/hsa-miR-3139/hsa-miR-708-5p,EYA3
77800,hsa-miR-532-3p,NPTN
77801,hsa-miR-668-3p,TNIK
77802,hsa-miR-371a-5p,ZKSCAN8
77803,hsa-miR-448,FAM177A1
77804,hsa-miR-338-3p,SERINC5
77805,hsa-miR-873-5p.2,SSBP2
77806,hsa-miR-205-5p,KLHL15
77807,hsa-miR-326/hsa-miR-330-5p,ZHX3
77808,hsa-miR-216a-5p,PDCD6IP
77809,hsa-miR-154-3p/hsa-miR-487a-3p,PAPD4
77810,hsa-miR-149-5p,PDS5A
77811,hsa-miR-1193/hsa-miR-370-5p,CXADR
77812,hsa-miR-214-5p,DPYSL3
77813,hsa-miR-542-3p,HMG20A
77814,hsa-miR-494-3p,STT3B
77815,hsa-miR-504-5p.1,PTPRF
77816,hsa-miR-191-5p,
77817,hsa-miR-431-5p,LGALS8
77818,hsa-miR-384,ACVR2B
77819,hsa-miR-375,EIF3H
77820,hsa-miR-376c-3p,LCOR
77821,hsa-miR-383-5p.2,NAA40
77822,hsa-miR-217/hsa-miR-6807-3p,RAB37
77823,hsa-miR-1251-5p,
77824,hsa-miR-3064-5p/hsa-miR-6504-5p,TGFB2
77825,hsa-miR-409-5p,
77826,hsa-miR-362-5p,ZNF146
77827,hsa-miR-193a-3p/hsa-miR-193b-3p,GRB7
77828,hsa-miR-411-5p.2,CLEC11A
77829,hsa-miR-488-3p,ABRA
77830,hsa-miR-296-3p,
77831,hsa-miR-335-5p,KAZALD1
77832,hsa-miR-877-5p,
77833,hsa-miR-299-3p,
77834,hsa-miR-154-5p,SNX24
77835,hsa-miR-296-5p,INPP5K
77836,hsa-miR-346,MMD2
77837,hsa-miR-382-5p,HSPD1
77838,hsa-miR-153-3p,EFNA3
77839,hsa-miR-670-3p,SRSF7
77840,hsa-miR-212-5p,PLXNA2
77841,hsa-miR-186-5p,SRI
77842,hsa-miR-532-5p,CAPZB
77843,hsa-miR-875-5p,
77844,hsa-miR-505-3p.2,LIN28A
77845,hsa-miR-320a/hsa-miR-320b/hsa-miR-320c/hsa-miR-320d/hsa-miR-4429,MTMR12
77846,hsa-miR-760,EVX2
77847,hsa-miR-3184-5p/hsa-miR-423-5p,KCNC3
77848,hsa-miR-1197,XRCC5
77849,hsa-miR-485-3p/hsa-miR-539-3p,KLHL15
77850,hsa-miR-339-5p,FAM98A
77851,hsa-miR-665,ARHGAP1
77852,hsa-miR-451a,
77853,hsa-miR-187-3p,
77854,hsa-miR-328-3p,USP8
77855,hsa-miR-493-3p,ITPRIPL1
77856,hsa-miR-412-5p,
77857,hsa-miR-134-5p/hsa-miR-3118,GRIK2
77858,hsa-miR-147b,
77859,hsa-miR-503-5p,CDK5R1
77860,hsa-miR-485-5p/hsa-miR-6884-5p,ANKRD34A
77861,hsa-miR-874-3p,DHDDS
77862,hsa-miR-329-3p/hsa-miR-362-3p,ZC3H7B
77863,hsa-miR-652-3p,
77864,hsa-miR-133a-3p.1,FKBP2
77865,hsa-miR-450a-5p,
77866,hsa-miR-487b-3p,
77867,hsa-miR-331-3p,RCC2
77868,hsa-miR-184,
77869,hsa-miR-615-3p,
77870,hsa-miR-210-3p,
77871,hsa-miR-126-3p.2,
77872,hsa-miR-127-3p,
77873,hsa-miR-758-3p,GRIK3
77874,hsa-miR-423-3p,
77875,hsa-miR-744-5p,
77876,hsa-miR-490-3p,PCBP1
77877,hsa-miR-151a-5p/hsa-miR-151b,
77878,hsa-miR-551a/hsa-miR-551b-3p,
77879,hsa-miR-185-5p/hsa-miR-4306/hsa-miR-4644,NFIX
77880,hsa-miR-193a-5p,RUNX1T1
77881,hsa-miR-200b-3p/hsa-miR-200c-3p/hsa-miR-429,SESN1
77882,hsa-miR-182-5p,SORT1
77883,hsa-miR-101-3p.2,EFNA5
77884,hsa-miR-130a-3p/hsa-miR-130b-3p/hsa-miR-301a-3p/hsa-miR-301b-3p/hsa-miR-3666/hsa-miR-4295/hsa-miR-454-3p,RAB5A
77885,hsa-miR-9-5p,DSE
77886,hsa-miR-1271-5p/hsa-miR-96-5p,EIF4EBP2
77887,hsa-miR-493-5p,DENR
77888,hsa-miR-499a-5p,CNTNAP5
77889,hsa-miR-208a-3p/hsa-miR-208b-3p,TLE4
77890,hsa-miR-128-3p/hsa-miR-216a-3p/hsa-miR-3681-3p,TFDP2
77891,hsa-miR-106a-5p/hsa-miR-106b-5p/hsa-miR-17-5p/hsa-miR-20a-5p/hsa-miR-20b-5p/hsa-miR-519d-3p/hsa-miR-526b-3p/hsa-miR-93-5p,FGD5
77892,hsa-miR-340-5p,LAMC1
77893,hsa-miR-142-3p.2,KCTD3
77894,hsa-miR-144-3p,SLC7A11
77895,hsa-miR-27a-3p/hsa-miR-27b-3p,IRF4
77896,hsa-miR-145-5p/hsa-miR-5195-3p,IVNS1ABP
77897,hsa-miR-101-3p.1,SKOR1
77898,hsa-miR-141-3p/hsa-miR-200a-3p,SOX5
77899,hsa-miR-30a-5p/hsa-miR-30b-5p/hsa-miR-30c-5p/hsa-miR-30d-5p/hsa-miR-30e-5p,CHST1
77900,hsa-miR-124-3p.1,KCNK10
77901,hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181c-5p/hsa-miR-181d-5p/hsa-miR-4262,MPP5
77902,hsa-miR-300/hsa-miR-381-3p,WWC1
77903,hsa-miR-133a-3p.2/hsa-miR-133b,CNNM2
77904,hsa-miR-129-5p,DTWD2
77905,hsa-miR-140-3p.1,WDFY2
77906,hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7c-5p/hsa-let-7d-5p/hsa-let-7e-5p/hsa-let-7f-5p/hsa-let-7g-5p/hsa-let-7i-5p/hsa-miR-4458/hsa-miR-4500/hsa-miR-98-5p,CPEB4
77907,hsa-miR-302a-3p/hsa-miR-302b-3p/hsa-miR-302c-3p.1/hsa-miR-302d-3p/hsa-miR-302e/hsa-miR-372-3p/hsa-miR-373-3p/hsa-miR-520a-3p/hsa-miR-520b/hsa-miR-520c-3p/hsa-miR-520d-3p/hsa-miR-520e,ST3GAL1
77908,hsa-miR-183-5p.2,NOVA1
77909,hsa-miR-323a-3p,BPTF
77910,hsa-miR-31-5p,SSH1
77911,hsa-miR-129-1-3p/hsa-miR-129-2-3p,GABRA1
77912,hsa-miR-1-3p/hsa-miR-206/hsa-miR-613,HNRNPK
77913,hsa-miR-3167/hsa-miR-876-5p,CHM
77914,hsa-miR-183-5p.1,RFX3
77915,hsa-miR-135a-5p/hsa-miR-135b-5p,MAN1A1
77916,hsa-miR-124-3p.2/hsa-miR-506-3p,RHBDL3
77917,hsa-miR-34a-5p/hsa-miR-34c-5p/hsa-miR-449a/hsa-miR-449b-5p,ZNF644
77918,hsa-miR-142-5p/hsa-miR-5590-3p,KIAA0355
77919,hsa-miR-802,SCG2
77920,hsa-miR-421,LARP4B
77921,hsa-miR-103a-3p/hsa-miR-107,MBNL1
77922,hsa-miR-25-3p/hsa-miR-32-5p/hsa-miR-363-3p/hsa-miR-367-3p/hsa-miR-92a-3p/hsa-miR-92b-3p,ARHGEF17
77923,hsa-miR-582-5p,SENP2
77924,hsa-miR-29a-3p/hsa-miR-29b-3p/hsa-miR-29c-3p,ELF2
77925,hsa-miR-495-3p/hsa-miR-5688,SNRPF
77926,hsa-miR-138-5p,TRPC7
77927,hsa-miR-299-5p,SLC30A1
77928,hsa-miR-219a-5p/hsa-miR-4782-3p/hsa-miR-6766-3p,CLIP2
77929,hsa-miR-137,SLC8A1
77930,hsa-miR-203a-3p.1,DYRK2
77931,hsa-miR-190a-5p/hsa-miR-190b,TNKS
77932,hsa-miR-21-5p/hsa-miR-590-5p,ESM1
77933,hsa-miR-155-5p,RCOR1
77934,hsa-miR-501-3p/hsa-miR-502-3p,PSIP1
77935,hsa-miR-455-3p.1,SEC62
77936,hsa-miR-10a-5p/hsa-miR-10b-5p,MCMBP
77937,hsa-miR-1297/hsa-miR-26a-5p/hsa-miR-26b-5p/hsa-miR-4465,GSK3B
77938,hsa-miR-410-3p,UNC5D
77939,hsa-miR-543,PHIP
77940,hsa-miR-302c-3p.2/hsa-miR-520f-3p,RRAGD
77941,hsa-miR-122-5p,KAT2A
77942,hsa-miR-142-3p.1,ANK3
77943,hsa-miR-125a-5p/hsa-miR-125b-5p/hsa-miR-4319,TTPA
77944,hsa-miR-140-3p.2,ZC3H7B
77945,hsa-miR-374a-5p/hsa-miR-374b-5p,HAPLN1
77946,hsa-miR-132-3p/hsa-miR-212-3p,SLC8A1
77947,hsa-miR-100-5p/hsa-miR-99a-5p/hsa-miR-99b-5p,
77948,hsa-miR-199a-3p/hsa-miR-199b-3p/hsa-miR-3129-5p,ATF7IP
77949,hsa-miR-148a-3p/hsa-miR-148b-3p/hsa-miR-152-3p,HMGB3
77950,hsa-miR-325-3p,RDH10
77951,hsa-miR-489-3p,SPTSSA
77952,hsa-miR-365a-3p/hsa-miR-365b-3p,LMTK2
77953,hsa-miR-223-3p,PEX16
77954,hsa-miR-653-5p,NAV1
77955,hsa-miR-139-5p,SCHIP1
77956,hsa-miR-505-3p.1,IER5
77957,hsa-miR-218-5p,HLF
77958,hsa-miR-202-5p,PIK3C2B
77959,hsa-miR-483-3p.2,BAG1
77960,hsa-miR-24-3p,GAL3ST3
77961,hsa-miR-18a-5p/hsa-miR-18b-5p/hsa-miR-4735-3p,DAB1
77962,hsa-miR-1298-5p,ZBTB10
77963,hsa-miR-204-5p/hsa-miR-211-5p,OGT
77964,hsa-miR-433-3p,ERBB4
77965,hsa-miR-376a-3p/hsa-miR-376b-3p,BMPR2
77966,hsa-miR-216b-5p,TOB2
77967,hsa-miR-22-3p,ZMYM4
77968,hsa-miR-383-5p.1,GLIS3
77969,hsa-miR-203a-3p.2,TSC22D1
77970,hsa-miR-455-3p.2,GDI2
77971,hsa-miR-19a-3p/hsa-miR-19b-3p,TNKS
77972,hsa-miR-455-5p,SORCS2
77973,hsa-miR-496.1,TBC1D30
77974,hsa-miR-452-5p/hsa-miR-4676-3p/hsa-miR-892c-3p,ZBTB16
77975,hsa-miR-369-3p,AGPAT3
77976,hsa-miR-188-5p/hsa-miR-6866-3p,ARL5B
77977,hsa-miR-221-3p/hsa-miR-222-3p,HMBOX1
77978,hsa-miR-146a-5p/hsa-miR-146b-5p/hsa-miR-7153-5p,NSD1
77979,hsa-miR-361-5p,ST6GAL2
77980,hsa-miR-377-3p,CXCR5
77981,hsa-miR-224-5p,ADAM17
77982,hsa-miR-7-5p,ZNF652
77983,hsa-miR-126-3p.1,
77984,hsa-miR-130a-5p/hsa-miR-23a-3p/hsa-miR-23b-3p/hsa-miR-23c,TGFBR3
77985,hsa-miR-6835-3p,MFAP1
77986,hsa-miR-15a-5p/hsa-miR-15b-5p/hsa-miR-16-5p/hsa-miR-195-5p/hsa-miR-424-5p/hsa-miR-497-5p/hsa-miR-6838-5p,SMAD7
77987,hsa-miR-143-3p/hsa-miR-4770/hsa-miR-6088,LIFR
77988,hsa-miR-496.2,EPB41L1
77989,hsa-miR-196a-5p/hsa-miR-196b-5p,ACER2
77990,hsa-miR-3529-5p/hsa-miR-379-5p,
77991,hsa-miR-374c-5p/hsa-miR-655-3p,BTAF1
77992,hsa-miR-219a-2-3p,ATP8A1
77993,hsa-miR-194-5p,KDM2B
77994,hsa-miR-199a-5p/hsa-miR-199b-5p,MARK4
77995,hsa-miR-28-3p,
77996,hsa-miR-140-5p,CYTH2
77997,hsa-miR-342-3p,VKORC1L1
77998,hsa-miR-192-5p/hsa-miR-215-5p,TRIM44
77999,hsa-miR-409-3p,MYLK
78000,hsa-miR-382-3p,BEND6
78001,hsa-miR-483-3p.1,
78002,hsa-miR-324-5p,CTDNEP1
78003,hsa-miR-411-5p.1,
78004,hsa-miR-1224-5p,TEAD3
78005,hsa-miR-150-5p,MBD6
78006,hsa-miR-378a-3p/hsa-miR-378b/hsa-miR-378c/hsa-miR-378d/hsa-miR-378e/hsa-miR-378f/hsa-miR-378h/hsa-miR-378i/hsa-miR-422a,KCND1
78007,hsa-miR-136-5p,CALCR
78008,hsa-miR-151a-3p,
78009,hsa-miR-873-5p.1,RNASEH2B
78010,hsa-miR-486-5p,CSPG5
78011,hsa-miR-1306-5p,VAT1
78012,hsa-miR-491-5p,P2RX6
78013,hsa-miR-33a-5p/hsa-miR-33b-5p,SH2B3
78014,hsa-miR-544a,RCAN3
78015,hsa-miR-425-5p,MEF2C
78016,hsa-miR-1249-3p,
78017,hsa-miR-330-3p,SLC30A4
78018,hsa-miR-379-3p/hsa-miR-411-3p,SND1
78019,hsa-miR-28-5p/hsa-miR-3139/hsa-miR-708-5p,SLC31A1
78020,hsa-miR-532-3p,NFIC
78021,hsa-miR-668-3p,PDK3
78022,hsa-miR-371a-5p,RCAN2
78023,hsa-miR-448,EPHA4
78024,hsa-miR-338-3p,C12orf4
78025,hsa-miR-873-5p.2,PELI3
78026,hsa-miR-205-5p,TMEM236
78027,hsa-miR-326/hsa-miR-330-5p,PPARGC1B
78028,hsa-miR-216a-5p,EVX2
78029,hsa-miR-154-3p/hsa-miR-487a-3p,RHOA
78030,hsa-miR-149-5p,FOS
78031,hsa-miR-1193/hsa-miR-370-5p,CACNA2D1
78032,hsa-miR-214-5p,KDM2A
78033,hsa-miR-542-3p,ZNF576
78034,hsa-miR-494-3p,ABI2
78035,hsa-miR-504-5p.1,RIMS3
78036,hsa-miR-191-5p,
78037,hsa-miR-431-5p,PBOV1
78038,hsa-miR-384,USP15
78039,hsa-miR-375,UBE3A
78040,hsa-miR-376c-3p,SMARCA1
78041,hsa-miR-383-5p.2,PLCXD3
78042,hsa-miR-217/hsa-miR-6807-3p,PAX3
78043,hsa-miR-1251-5p,
78044,hsa-miR-3064-5p/hsa-miR-6504-5p,CNNM2
78045,hsa-miR-409-5p,
78046,hsa-miR-362-5p,SMG1
78047,hsa-miR-193a-3p/hsa-miR-193b-3p,ZNF608
78048,hsa-miR-411-5p.2,
78049,hsa-miR-488-3p,PRCP
78050,hsa-miR-296-3p,
78051,hsa-miR-335-5p,EVI5
78052,hsa-miR-877-5p,
78053,hsa-miR-299-3p,
78054,hsa-miR-154-5p,GUCY1A2
78055,hsa-miR-296-5p,SLC4A5
78056,hsa-miR-346,BCL6
78057,hsa-miR-382-5p,KCNQ3
78058,hsa-miR-153-3p,DVL3
78059,hsa-miR-670-3p,C7
78060,hsa-miR-212-5p,KIAA1614
78061,hsa-miR-186-5p,CDK6
78062,hsa-miR-532-5p,DCAF17
78063,hsa-miR-875-5p,
78064,hsa-miR-505-3p.2,ZNF609
78065,hsa-miR-320a/hsa-miR-320b/hsa-miR-320c/hsa-miR-320d/hsa-miR-4429,PDE3B
78066,hsa-miR-760,MAP3K11
78067,hsa-miR-3184-5p/hsa-miR-423-5p,PLCB1
78068,hsa-miR-1197,GTDC1
78069,hsa-miR-485-3p/hsa-miR-539-3p,FOXK1
78070,hsa-miR-339-5p,BCL6
78071,hsa-miR-665,STX4
78072,hsa-miR-451a,
78073,hsa-miR-187-3p,
78074,hsa-miR-328-3p,POLR3H
78075,hsa-miR-493-3p,UHMK1
78076,hsa-miR-412-5p,
78077,hsa-miR-134-5p/hsa-miR-3118,GRPEL2
78078,hsa-miR-147b,
78079,hsa-miR-503-5p,BTLA
78080,hsa-miR-485-5p/hsa-miR-6884-5p,GLIS3
78081,hsa-miR-874-3p,FGF1
78082,hsa-miR-329-3p/hsa-miR-362-3p,SMARCAD1
78083,hsa-miR-652-3p,
78084,hsa-miR-133a-3p.1,MMP15
78085,hsa-miR-450a-5p,
78086,hsa-miR-487b-3p,
78087,hsa-miR-331-3p,F10
78088,hsa-miR-184,
78089,hsa-miR-615-3p,
78090,hsa-miR-210-3p,
78091,hsa-miR-126-3p.2,
78092,hsa-miR-127-3p,
78093,hsa-miR-758-3p,STXBP1
78094,hsa-miR-423-3p,
78095,hsa-miR-744-5p,
78096,hsa-miR-490-3p,KLF13
78097,hsa-miR-151a-5p/hsa-miR-151b,
78098,hsa-miR-551a/hsa-miR-551b-3p,
78099,hsa-miR-185-5p/hsa-miR-4306/hsa-miR-4644,CDH4
78100,hsa-miR-193a-5p,GOLGA8F
78101,hsa-miR-200b-3p/hsa-miR-200c-3p/hsa-miR-429,ST6GALNAC5
78102,hsa-miR-182-5p,NDNF
78103,hsa-miR-101-3p.2,DR1
78104,hsa-miR-130a-3p/hsa-miR-130b-3p/hsa-miR-301a-3p/hsa-miR-301b-3p/hsa-miR-3666/hsa-miR-4295/hsa-miR-454-3p,ACBD5
78105,hsa-miR-9-5p,SHC2
78106,hsa-miR-1271-5p/hsa-miR-96-5p,QKI
78107,hsa-miR-493-5p,PITPNM2
78108,hsa-miR-499a-5p,GLYR1
78109,hsa-miR-208a-3p/hsa-miR-208b-3p,TRIM13
78110,hsa-miR-128-3p/hsa-miR-216a-3p/hsa-miR-3681-3p,DIRAS1
78111,hsa-miR-106a-5p/hsa-miR-106b-5p/hsa-miR-17-5p/hsa-miR-20a-5p/hsa-miR-20b-5p/hsa-miR-519d-3p/hsa-miR-526b-3p/hsa-miR-93-5p,RORA
78112,hsa-miR-340-5p,MFSD9
78113,hsa-miR-142-3p.2,TGFBR1
78114,hsa-miR-144-3p,C2CD2
78115,hsa-miR-27a-3p/hsa-miR-27b-3p,TMCC1
78116,hsa-miR-145-5p/hsa-miR-5195-3p,RFX3
78117,hsa-miR-101-3p.1,ANKRD52
78118,hsa-miR-141-3p/hsa-miR-200a-3p,FBXW2
78119,hsa-miR-30a-5p/hsa-miR-30b-5p/hsa-miR-30c-5p/hsa-miR-30d-5p/hsa-miR-30e-5p,UBE2I
78120,hsa-miR-124-3p.1,SBNO2
78121,hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181c-5p/hsa-miR-181d-5p/hsa-miR-4262,FNIP2
78122,hsa-miR-300/hsa-miR-381-3p,UBE2B
78123,hsa-miR-133a-3p.2/hsa-miR-133b,HHIP
78124,hsa-miR-129-5p,FRMD3
78125,hsa-miR-140-3p.1,SIPA1L3
78126,hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7c-5p/hsa-let-7d-5p/hsa-let-7e-5p/hsa-let-7f-5p/hsa-let-7g-5p/hsa-let-7i-5p/hsa-miR-4458/hsa-miR-4500/hsa-miR-98-5p,NAT8L
78127,hsa-miR-302a-3p/hsa-miR-302b-3p/hsa-miR-302c-3p.1/hsa-miR-302d-3p/hsa-miR-302e/hsa-miR-372-3p/hsa-miR-373-3p/hsa-miR-520a-3p/hsa-miR-520b/hsa-miR-520c-3p/hsa-miR-520d-3p/hsa-miR-520e,KPNA2
78128,hsa-miR-183-5p.2,NAA50
78129,hsa-miR-323a-3p,ZADH2
78130,hsa-miR-31-5p,VEZT
78131,hsa-miR-129-1-3p/hsa-miR-129-2-3p,IGFBPL1
78132,hsa-miR-1-3p/hsa-miR-206/hsa-miR-613,SNX2
78133,hsa-miR-3167/hsa-miR-876-5p,SPATS2L
78134,hsa-miR-183-5p.1,PLAG1
78135,hsa-miR-135a-5p/hsa-miR-135b-5p,ZNF385B
78136,hsa-miR-124-3p.2/hsa-miR-506-3p,KCNH1
78137,hsa-miR-34a-5p/hsa-miR-34c-5p/hsa-miR-449a/hsa-miR-449b-5p,HOOK3
78138,hsa-miR-142-5p/hsa-miR-5590-3p,OSBPL6
78139,hsa-miR-802,MEX3B
78140,hsa-miR-421,GCNT2
78141,hsa-miR-103a-3p/hsa-miR-107,TMEM184B
78142,hsa-miR-25-3p/hsa-miR-32-5p/hsa-miR-363-3p/hsa-miR-367-3p/hsa-miR-92a-3p/hsa-miR-92b-3p,JOSD1
78143,hsa-miR-582-5p,METAP1
78144,hsa-miR-29a-3p/hsa-miR-29b-3p/hsa-miR-29c-3p,DGKD
78145,hsa-miR-495-3p/hsa-miR-5688,FGF7
78146,hsa-miR-138-5p,CAMK2N1
78147,hsa-miR-299-5p,CEP350
78148,hsa-miR-219a-5p/hsa-miR-4782-3p/hsa-miR-6766-3p,BCAS3
78149,hsa-miR-137,NABP1
78150,hsa-miR-203a-3p.1,WDR37
78151,hsa-miR-190a-5p/hsa-miR-190b,PITPNA
78152,hsa-miR-21-5p/hsa-miR-590-5p,PITX2
78153,hsa-miR-155-5p,TAB2
78154,hsa-miR-501-3p/hsa-miR-502-3p,KCNA1
78155,hsa-miR-455-3p.1,WDR26
78156,hsa-miR-10a-5p/hsa-miR-10b-5p,MAP3K2
78157,hsa-miR-1297/hsa-miR-26a-5p/hsa-miR-26b-5p/hsa-miR-4465,ASPN
78158,hsa-miR-410-3p,FZD1
78159,hsa-miR-543,DOCK11
78160,hsa-miR-302c-3p.2/hsa-miR-520f-3p,GDE1
78161,hsa-miR-122-5p,NAA50
78162,hsa-miR-142-3p.1,RAP1GAP2
78163,hsa-miR-125a-5p/hsa-miR-125b-5p/hsa-miR-4319,MBOAT2
78164,hsa-miR-140-3p.2,INO80
78165,hsa-miR-374a-5p/hsa-miR-374b-5p,FGF18
78166,hsa-miR-132-3p/hsa-miR-212-3p,RFX3
78167,hsa-miR-100-5p/hsa-miR-99a-5p/hsa-miR-99b-5p,
78168,hsa-miR-199a-3p/hsa-miR-199b-3p/hsa-miR-3129-5p,DDIT4
78169,hsa-miR-148a-3p/hsa-miR-148b-3p/hsa-miR-152-3p,SLC2A1
78170,hsa-miR-325-3p,CAT
78171,hsa-miR-489-3p,WRN
78172,hsa-miR-365a-3p/hsa-miR-365b-3p,MSI2
78173,hsa-miR-223-3p,UHMK1
78174,hsa-miR-653-5p,STT3B
78175,hsa-miR-139-5p,ZFAND3
78176,hsa-miR-505-3p.1,EIF3A
78177,hsa-miR-218-5p,MSI2
78178,hsa-miR-202-5p,RNF2
78179,hsa-miR-483-3p.2,UBN2
78180,hsa-miR-24-3p,AAK1
78181,hsa-miR-18a-5p/hsa-miR-18b-5p/hsa-miR-4735-3p,ZBTB44
78182,hsa-miR-1298-5p,DSC3
78183,hsa-miR-204-5p/hsa-miR-211-5p,ATP8B1
78184,hsa-miR-433-3p,ATP6V0A1
78185,hsa-miR-376a-3p/hsa-miR-376b-3p,NRP1
78186,hsa-miR-216b-5p,KLHL15
78187,hsa-miR-22-3p,EDC3
78188,hsa-miR-383-5p.1,FXYD5
78189,hsa-miR-203a-3p.2,ATF2
78190,hsa-miR-455-3p.2,CCDC171
78191,hsa-miR-19a-3p/hsa-miR-19b-3p,SOCS3
78192,hsa-miR-455-5p,PPP2R5A
78193,hsa-miR-496.1,SEPHS1
78194,hsa-miR-452-5p/hsa-miR-4676-3p/hsa-miR-892c-3p,ZNF532
78195,hsa-miR-369-3p,ZER1
78196,hsa-miR-188-5p/hsa-miR-6866-3p,KLF12
78197,hsa-miR-221-3p/hsa-miR-222-3p,OXA1L
78198,hsa-miR-146a-5p/hsa-miR-146b-5p/hsa-miR-7153-5p,STRBP
78199,hsa-miR-361-5p,GOLGA4
78200,hsa-miR-377-3p,REL
78201,hsa-miR-224-5p,NPAS4
78202,hsa-miR-7-5p,ATXN7
78203,hsa-miR-126-3p.1,
78204,hsa-miR-130a-5p/hsa-miR-23a-3p/hsa-miR-23b-3p/hsa-miR-23c,HOXA3
78205,hsa-miR-6835-3p,TTBK2
78206,hsa-miR-15a-5p/hsa-miR-15b-5p/hsa-miR-16-5p/hsa-miR-195-5p/hsa-miR-424-5p/hsa-miR-497-5p/hsa-miR-6838-5p,E2F3
78207,hsa-miR-143-3p/hsa-miR-4770/hsa-miR-6088,MBOAT2
78208,hsa-miR-496.2,SMG1
78209,hsa-miR-196a-5p/hsa-miR-196b-5p,SLC25A22
78210,hsa-miR-3529-5p/hsa-miR-379-5p,
78211,hsa-miR-374c-5p/hsa-miR-655-3p,ASCL1
78212,hsa-miR-219a-2-3p,DOK6
78213,hsa-miR-194-5p,GBX2
78214,hsa-miR-199a-5p/hsa-miR-199b-5p,SRSF1
78215,hsa-miR-28-3p,
78216,hsa-miR-140-5p,PURB
78217,hsa-miR-342-3p,NCKAP1
78218,hsa-miR-192-5p/hsa-miR-215-5p,PTCHD1
78219,hsa-miR-409-3p,TNNI1
78220,hsa-miR-382-3p,DNAJB4
78221,hsa-miR-483-3p.1,
78222,hsa-miR-324-5p,DAND5
78223,hsa-miR-411-5p.1,
78224,hsa-miR-1224-5p,ELFN2
78225,hsa-miR-150-5p,CDAN1
78226,hsa-miR-378a-3p/hsa-miR-378b/hsa-miR-378c/hsa-miR-378d/hsa-miR-378e/hsa-miR-378f/hsa-miR-378h/hsa-miR-378i/hsa-miR-422a,BMP2
78227,hsa-miR-136-5p,CNOT7
78228,hsa-miR-151a-3p,
78229,hsa-miR-873-5p.1,NECAP2
78230,hsa-miR-486-5p,ARMC8
78231,hsa-miR-1306-5p,CAB39L
78232,hsa-miR-491-5p,TEAD3
78233,hsa-miR-33a-5p/hsa-miR-33b-5p,NCOA3
78234,hsa-miR-544a,ZXDB
78235,hsa-miR-425-5p,ARMCX3
78236,hsa-miR-1249-3p,
78237,hsa-miR-330-3p,EIF3J
78238,hsa-miR-379-3p/hsa-miR-411-3p,GABPA
78239,hsa-miR-28-5p/hsa-miR-3139/hsa-miR-708-5p,IQSEC2
78240,hsa-miR-532-3p,APP
78241,hsa-miR-668-3p,EMX2
78242,hsa-miR-371a-5p,RLIM
78243,hsa-miR-448,MED13L
78244,hsa-miR-338-3p,CBFB
78245,hsa-miR-873-5p.2,PHYHIP
78246,hsa-miR-205-5p,NEU1
78247,hsa-miR-326/hsa-miR-330-5p,SNCB
78248,hsa-miR-216a-5p,CGGBP1
78249,hsa-miR-154-3p/hsa-miR-487a-3p,APC
78250,hsa-miR-149-5p,ADCYAP1R1
78251,hsa-miR-1193/hsa-miR-370-5p,FLNB
78252,hsa-miR-214-5p,ROCK1
78253,hsa-miR-542-3p,DNAJB2
78254,hsa-miR-494-3p,CDS1
78255,hsa-miR-504-5p.1,HPCAL4
78256,hsa-miR-191-5p,
78257,hsa-miR-431-5p,TTC39A
78258,hsa-miR-384,COL17A1
78259,hsa-miR-375,FOXF1
78260,hsa-miR-376c-3p,PFDN4
78261,hsa-miR-383-5p.2,MLLT3
78262,hsa-miR-217/hsa-miR-6807-3p,CADPS2
78263,hsa-miR-1251-5p,
78264,hsa-miR-3064-5p/hsa-miR-6504-5p,KCNB1
78265,hsa-miR-409-5p,
78266,hsa-miR-362-5p,ZBTB20
78267,hsa-miR-193a-3p/hsa-miR-193b-3p,SIAH1
78268,hsa-miR-411-5p.2,
78269,hsa-miR-488-3p,C7
78270,hsa-miR-296-3p,
78271,hsa-miR-335-5p,FMR1
78272,hsa-miR-877-5p,
78273,hsa-miR-299-3p,
78274,hsa-miR-154-5p,LUZP2
78275,hsa-miR-296-5p,PHC2
78276,hsa-miR-346,SAMD12
78277,hsa-miR-382-5p,GPR155
78278,hsa-miR-153-3p,FAM102A
78279,hsa-miR-670-3p,GNAI2
78280,hsa-miR-212-5p,EBF3
78281,hsa-miR-186-5p,DOCK3
78282,hsa-miR-532-5p,FBXO42
78283,hsa-miR-875-5p,
78284,hsa-miR-505-3p.2,KHDRBS1
78285,hsa-miR-320a/hsa-miR-320b/hsa-miR-320c/hsa-miR-320d/hsa-miR-4429,PAN3
78286,hsa-miR-760,SNCB
78287,hsa-miR-3184-5p/hsa-miR-423-5p,PEX16
78288,hsa-miR-1197,BCL2L11
